book,episodes,plants_landed,plants_total,payoffs_exact,payoffs_semantic,payoffs_exact_or_semantic,payoffs_weak,payoffs_total
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,5,35,35,19,14,33,2,35
black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east,4,28,28,13,13,26,2,28
freedom-at-midnight,5,34,34,14,18,32,2,34
ghost-wars,7,46,46,30,16,46,0,46
god-s-shadow,3,20,20,12,6,18,2,20
india-after-gandhi,10,68,69,40,26,66,3,69
india-in-the-persianate-age,4,29,29,17,12,29,0,29
midnight-s-furies-the-deadly-legacy-of-india-s-partition,3,21,22,4,16,20,2,22
return-of-a-king-the-battle-for-afghanistan,6,44,44,9,31,40,4,44
the-anarchy-the-east-india-company-corporate-violence-and-the-pillage-of-an-empire,4,28,28,14,13,27,1,28
the-crusades-an-authoritative-history,5,35,35,21,11,32,3,35
the-fall-of-the-ottomans-the-great-war-in-the-middle-east,5,35,35,26,9,35,0,35
the-last-mughal,4,28,28,13,15,28,0,28
the-struggle-for-pakistan-a-muslim-homeland-and-global-politics,4,29,29,11,16,27,2,29
