book,episode,plant_index,fact,plant_in_act,payoff_in_act,bridging_language,plant_landed,plant_keyword_hits,payoff_class,payoff_overlap,payoff_common_tokens,best_matching_sentence,arc_plan_path,spoken_script_path
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,1,The Ottoman dreadnoughts were financed by public subscription across the empire.,1,5,Remember the ship ordinary Ottomans believed they had bought for themselves — the one paid for in jewelry and pocket money.,True,5/6,exact,0.636,7,Remember the ship ordinary Ottomans believed they had bought for themselves.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,2,The 1907 Anglo-Russian settlement convinced many in Constantinople that Britain would no longer shield Turkey from Russia.,2,5,Beneath the anger over Churchill's seizure was the older fear London had stopped noticing — the fear of Russia.,True,10/10,exact,0.9,9,Beneath the anger over Churchill's seizure was the older fear London had stopped noticing.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,3,British diplomats in Constantinople misread the C.U.P. through fantasies of Jewish-Freemason conspiracy and hidden control.,3,6,"The same distorting lens London used in Constantinople would reappear in Cairo, only now it would shape policy.",True,10/10,semantic,0.9,9,"The same distorting lens London had used in Constantinople now reappeared in Cairo, only now it would shape policy.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,4,Enver approached Germany for an alliance on 22 July and was initially rejected.,4,5,"Before those ships were taken, Enver had already knocked on Berlin's door.",True,7/7,semantic,0.571,4,Enver had already knocked on Berlin's door.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,5,"The Ottoman Empire's rail network was only 5,991 kilometers of single-track over immense territory.",3,7,"That thin rail map mattered now: the empire Churchill was fighting was weak, but it was also weak in ways that made every campaign brutal and slow.",True,9/9,weak,0.231,3,That thin rail map mattered.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,6,Kitchener's circle believed the caliphate could be moved to Arabia and used under British influence.,6,8,What began as a theory in Cairo was now turning into promises on paper and borders on a map.,True,9/9,exact,1.0,7,What began as a theory in Cairo was now turning into promises on paper and borders on a map.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,7,"Hamilton was shown a borrowed Greek map, and British knowledge of the theater was dangerously thin.",6,7,They were going in with the wrong map — literally.,True,9/9,exact,0.667,2,They were going in with the wrong map.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-1,8,"The four place-names — Aleppo, Homs, Hama, and Damascus — were both geography and a rail-linked political spine.",8,8,Those four names were not just towns; they were the skeleton of the promise everyone would later fight over.,True,12/12,exact,0.556,5,They were the skeleton of the promise everyone would later fight over.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-1/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,1,"British intelligence reported that most captured Arabic-speaking officers supported the Young Turks, and even critics would not revolt while the enemy was in the field.",1,2,Remember what British interrogators had already learned: the Arab officers they expected to peel away were not waiting to defect.,True,15/15,exact,0.909,10,British interrogators had already learned that the Arab officers they expected to peel away were not waiting to defect.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,2,"Djemal Pasha secretly explored overthrowing the Ottoman government with Allied help, and the western Allies let the opening close.",1,2,The one insider opening they had declined was gone—so now Cairo was betting on a far weaker card.,True,10/13,exact,0.5,4,The one insider opening they had declined was gone.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
